cleaned_tweet,label
ማን ነበርኩ የሚል ማንም አልነበረም ልጋልፈስያ ርገነ ኝሳወ ልህያ ቅለጥመለ ይህን አውሮፕላን በመገልበጥ ላይ ሁለታበልውደእ ቡርቅያ ንሱነእ,0
ጓደኛዬ ስረድ ጉርደያኪስእ ልብምጭ አሁን የፍርሀት ጊዜ አይደለም ኝሩገን ኔባ ለስ,0
እንጀራ በህልሜ ብቻ ብቻ የማየው ሆድ ባሰኝ ሲበሎ ማየት በዩቱብ በፌስ ቡክ መንደር በቃ ብዙ አመታት አስቆጠርኩኝ እንጀራየ,0
ኢትዮጵያ በደከመች ጊዜ በግፍ የተወሰደባትን የባህር በር የጊዜ ጉዳይ እንጂ ማስመለሷ አይቀርም ከቻይና ቦሊቪያ ብዙ ልንማር ይገባል,1
እንዴት ሰዉ ከዝንብ ማር ይጠብቃል አለቀ የተፈናቀሉት ተማሪዎች ወደ ትጥቅ ትግል መሄድ ነዉ ያለባቸዉ አለቀ አነሱ ፍትህ አትጠብቁ በአቡነ እስካለ ድረስ አማራ ሁል ጊዜ እንዳለቀሰ ይኖራል,0
አአበባ ውስጥ ምንም አይነት ስብሰባ ማድረግ አይፈቀድም ሌላው ቢቀር የሙዚቃ ኮንሰርት አይቻልም ቢደረግ አንኳ የአአበባ ፖሊስ ወዲያው ልብሱን ቀይሮ ቄሮ ይሆንና ወይ ስብሰባውን ያውካል ወይ መብራት ያስጠፋል ይሄው የህዝባችን ነፃነት,0
ይኼንስ ታዝበህልናል አዲስ የትራፊክ መብራት በተከሉ ቁጥር ገመድ ለመቅበር በቱም አቅጣጫ ይቆፍሩና ሁሌም ሳይደፍኑ ይተዉታል መብራቱ ሲጀምር መኪኖች ባልተደፈኑት ጉድጓዶች የመቆም ያህል በቀስታማለፍ ይገደዳሉ ትርምሱ ተመልሶ እንደውምብሶበት ቁጭ,0
በጥባጭና በሀሳብ ልእልና የማያምን ወጠጤ ሰሜን ይሁን ደቡብ ምስራቅ ምእራብ የዲሞክራሲ ጅምራችን ጠላት ነዉና መወገዝ አለበትኢትዮጵያዊነት ከጉልበት ውጭ ሌላ ምንም…,0
ኦዴፓ ብቻ ሊመልሰው የሚችለው ከሌሎች ጋር ሲዋሀድ የማይመለሰው የኦሮሞን ጥያቄ ለሚነግርኝ ውለታውን በታላቅ ምስጋና አቀርብ,1
መልካም ጅማሮ እኛም ከጎንህ ነን,1
አሁን ጊዜው ሌሎቻችሁ የትግራይን ህዝብ ይዛችሁ ከሌላው ወገኑ ጋር ወደ ወደፊትዋ ኢትዮጵያ የማምጣትና ከሚገኘው የሰላምና የብልፅግና ትሩፋት የማቅዋደስ ሀላፊነታችሁን በብቃት የምትወጡበት,1
ኖኖ ፖለቲካ አይደለም ፖለቲከኞቹህ ናቸው ለዚህ ቀውስ የዳረጉን ሲቀጥል ኤርትራን ማመናመን እሚባል ስርቅአት ቀርተዋል እኛም ራሳችን አልቻልንም ወንድሜ የእሱ ፖለቲካ አይደለም ወረራ ኢትዮጵያ ኤርትራን ያጣችው ፓርላማ ስለፈረሙ,0
የቆሸሸ ሟች ለመደበቅ እዚያ እንደቆሙ አውቃለሁ,0
አመሰግናለሁ ጆዬ ወሪት ኢትዮጵያ loading,1
የአማራ ክልል መንግስት መግለጫ ኢጅነር ስመኘው እራሱን አጥፍቶ የሚለውን ቀልድ ሙስሊሙ መስጅዱን ያቃጠለው ከሚለው ጋር አንድ,0
ለ ንፁሀን የህይወት መጥፋት ምክንያት የሆነው ግለሰብ በይፋ የኦፌኮ ፓርቲ አባል መሆኑ,0
አሜን ይመጣል ደስ የሚል ዝማሬ ዘማሪ ጵኒኤል ጌታ ይባርክህ ተባረክ doxa arts studio በቆንጆና ለአይን በሚማርክ ቀረፃና ኤዲቲንግ መልእክቱን አድርሶናል ተባረኩ እናተም ስምታችሁ ተባረኩበት,1
«አንቺኮ ቅኔ ነሽ» ሲፈጥርሽ ጀምሮ ጠቢብ ሰው ካልሆነ ማንም የማይፈታሽ ለዚህ እምዬ ህመምሽ ሳይገባን የሚፈሰው እምባሽ ❤ ልብ አልባው ገጣሚ,1
ተሰጥኦ ብላ እንዳታፍ ብቻ,0
የኦሮሞ ህዝብ ጥያቄ የፍትህ አይደለም እንዴ የአማራስ የተለየነው እንዴ የእኩል ተጠቃሚነት አይደለም እንዴ የዲሞክራሲ ጥያቄ አይደለም እንዴ አኝዋኩምሀመሩም ሱርሚውም ተመሳሳይ ጥያቄ ያለውይህ የሁሉም የኢትዮጵያ ህዝቦች ጥያቄ,0
ለስንት ብርና ለየትኛው ጥቅም ይሆን ይች ብልህ እቅድ የተሰነዘረችው መቀለጃ ጦጣቸው አደረጉን እኮ🤯🤯,0
ምን አይነት ደነዝ,0
የአፍሪካ ቀንድ ሰሜን ኢትዮጵያ የሚገኘው የisis ቅርንጫፍ tplf እየተባለ የሚጠራው የአጋንንቶች ጥርቅም ይህን አሰቃቂ ኢሰብአዊ ድርጊት የፈፀመው እግዚአብሄር የኢትዮጵያ አምላክ የእጃችሁን የሀሰን ሱልማኒን ቀን ይስጣችሁ,0
የህይወቴ የመጨረሻ ስኬት መልካምነት,1
ማለት አሜን,0
የማንንም ፍልጥ ሰብስቦ አዲስ አበቤ እያለ ሰገጤ ያራዳ ልጆችን ሙድ ሊይዝባቸው ሲሞክር,0
አሳዛኝ ታሪክ ጉድ አደረገኝ ••• ከፌደራል ፖሊስነት ወደ እስራኤል ዳንሳ ቸርች ካዳሚነት,0
በኮሮናቫይረስ ሳይያዙ አይቀሩም ተብለው የተጠረጠሩት ኢትዮጵያውያን ከቫይረሱ ነፃ መሆናቸውን ተነገረ,1
እኔም አህመዲን ጀበል ነኝ በባህርዳር እየተካሄደ ባለው ሰልፍ ላይ,1
ሁላችንም የእግዚብሄርን ክብር አንኳሰናል እንዴት ከእርሱ በላይ ሌሎች ነገሮችን በመምረጥ ባለማመስገን በእርሱ ባለመታመንና ባለመታዘዝ በመሆኑም እግዚአብሄር ለዘላለም በክብሩ ደስተኞች እንዳንሆን በመከልከሉ ትክክል ‹‹እነር,0
የቤኒሻንጉል ጉሙዝ ክልል ወደ መሀል ሀገር በሚወስዱ መንገዶች በሚፈፀሙ ጥቃቶች ዜጎች ከቦታ ቦታ የመንቀሳቀስ ህገመንግስታዊ መብት ተነፍገዋል ስጋት ውስጥ ወድቀዋል በመንግስት ላይ ያላቸውን እምነት ጥያቄ ውስጥ ለማስገባት ተገዷል ብሏል,0
አሁንም ኢትዮጵያ ለትውልድ የሚተላለፍ ጎጅና የግብፅ ምርኮኛ የሚያደርግ ውል ከምትፈርም ውይይቱን አቋርጣ ብትወጣና ሏላዊነቷን የሚያስከብር ውሳኔ ብትወስን የሚሻለው,1
በትክክል በዚህ አጋጣሚ ሰይፉ ምን ያህል የሰው ፍቅር እንዳለው እያየበት,1
ታከለ ዶማ መች ሰው የሆነው ፐ ከባድ ሰው ተጠርቶ ተሞቷል,0
ለእዳንተ አይነት ጠባብ መለጠፍ ውለታው ይቅር,0
እንደሰንሰለት ተጠምጥመው የያዙንን ማህበረሰባዊ ጉራዎች egos ካላስወገድን በስተቀር ማህበረሰባዊ ለውጥን መፍጠር አንችልም ስልጣኔ ለራስ የሚሰጡትን ግምት ከማስተካከል ይጀምራል ❗,1
ቸር ያሰማን መልካም ሰንበት,1
የአገራችን ሙስሊሞች በራሳችን ምህዋር የራሳችንና አገራችንን በኛ እይታ በማጣቀስ ታሪክ ሊኖረን ይገባል ያኔ አመታት የተዛባው ታሪክና የኛው የአመት ታሪክ ለኢትዮጲያ ታሪክ መዋጮ ይሆናል,1
“ለሀጣን የመጣ ለፃርቃን ይተርፋል” በእያለንበት እንፀልይ ለሀገረ አውስትራልያ አቤቱ ጌታ ሆይ ማረን ይቅር በለን ምህረቱን አውርድልን ስለእናትህ ብለህ ከጥፋት ታደገን,1
ጅማዩንቨርስቲ በወለጋ ና ገጂ ላይ የተከፈተውን መጠነ ስፊ በአየር የታገዘ ጭፍጨፋ በመቃዉም ስልፍ ወጥተዋል,1
ታህሳስ የጉራጌ ዞን አስተዳደር የጉራግኛ ቋንቋን በስርአተ ትምህርት ውስጥ ለማካተት እየሰራሁ አለ,1
“ለውጥ ማለት ያለውን አፍርሶ አዲስ መገንባት አይደለም ኢትዮጵያ እንድታድግ ከተፈለገ ባላት ላይ የሚጨምር የተማረ የሰው ሀይል ያስፈልጋታል” ያላረፉ ነፍሶች,1
ፋሽን ከከፍታ መውረድ ማለት ይህ ልጅቷን የማትፈልገውን ድምፅ እንድታወጣ አስገደዳት,0
ጠቅላይ ሚንስትሩ ከኦሮሚያ ክልላዊ መንግስት ርእሰመስተዳድር ጋር ቦረና ዘልቀዋል እንደተደረገላቸው ደማቅ አቀባበል ሁሉ ከህዝቡ ጋር በሚገባ ተገናኝተው ተወያይተው እንደሚመለሱ ተስፋ አደርጋለሁ ethiopia ብልፅግና prosperity,1
የመደመር አላማ ሀገራችን ባለፉት አመታት ያስመዘገበቻቸውን ድሎች ጠብቆና ስህተቶችን አርሞ የመፃኢውን ትውልድ ጥቅም ማረጋገጥ ብለዋል ክቡር አምባሳደሩ መድረኩ በጋራ ሀገራዊ ጉዳዮች ላይ…,1
በደቡብ አፍሪካ የሚኖሩ ኢትዮጵያውያንን ትኩረት አድርገው ከፕሬዝዳንት ሲሪል ራማፎሳ ጋር ተወያይተው ኢትዮጵያውያን ትኩረት እንዲያገኙ የሚያስችል ስምምነት ላይ መድረሳቸውን ጠሚር ዶር አቢይ አህመድ ተናገሩ,1
ስንት አማራ ስንት ኦሮሞ እያሉ በሞታችን ሙድ ሊይዙብን ዛሬም,0
ሲሳይ አጌና ጠጅ ቤት ከተሄደ የሚገኘው ትርፍ ይህ,0
ያመሸሁበትን ቦታ እንኳን እመኝኝ ኤልያስ ስንቱን አጣርቶ ይችላል,0
እዉነተኛ የአብይ ባህርይ እርካብ ና መንበር መፅሀፍ ላይ ያለው,0
የሚሸማቀቁበትን የጭቆና ታሪክ ሁሌ ፈጠራ እንዳሉ የነሱ ተረት ግን እውነተኛ ታሪክ የሄ የተለመደ ባህሪያቸው ምን አዲሰ ነገር አለው,1
በአባቴ እንዳለሁ እናንተም በእኔ እንዳላችሁ እኔም በእናንተ እንዳለሁ በዚያን ቀን ታውቃላችሁ ትእዛዜ በእርሱ ዘንድ ያለው እርሱም የሚጠብቀኝ እርሱ የሚወደኝ እርሱ አባቴም ይወዷል እኔም እወዷለሁ ራሴንም አሳየዋለሁ,1
ምነው በያስኳላው ይሞታል ወጣቱ መማር ሁኖ ሳለ አብይ ፍላጎቱ ምርቃት ነበረ የናት ያባት ፀጋ ሙሾ ማውረድ ሆነ ጊዜው እያሰጋ ይበጃል መፃፉ ጥበብን በቀለም የተማረ በብእሩ አያበጀው የለም ያገሬ ወጣቶች…,0
የኢዜማውቱልቱላ ብርሀኑ ነጋ ኮል አብይን እንደሚያማክር የምርጫ ቦርድ ሪፎርምም እንድሚያግዝ ሲናገር ሰምተናል አማራ እስረኞችን ማስፈታት እንዴታ አቃታቹ ወይስ የእርሶውም የአዞ እምባ ነገር,0
ጥር ለሞጣ የሽብር ሰለባዎች የምናደርገው ድጋፍ የተዘረፉትንና የወደመባቸውን ሀብትና ንብረት ብቻ ሳይሆን ስነ–ልቦናቸውንም ጭምር የሚጠግን መሆን አለበት mottaterrorattack mottafundraising,1
አሰፋ የትዝታው ፈለግ ጀግና,1
ይሄንን እኮ መቻል ያቃተኝ ራስ ዳሽን ራሱ እንደናንተ ራሱን መች ይቆልላል በየሱስስስ ስም,0
ያው በክልሉ ምክር ቤት በምርጫ ቦርድ በኩል አሻችዋለሁ ነው,0
ለመላው የክርስትና እምነት ተከታዮች እንኳን ለ አም ለገና በአል አደረሳችሁ በአሉ የሰላም የፍቅር የመቸቻል ከምንግዜውም በላይ አንድነታችንን የምናጠናክርበት ባአል እንዲሆን መልካም ምኞቴ,1
እንዷንተ የሚያስብልኝ ቢኖር ውይ የእኔ አሳቢ አብሽር አልሞትም,1
ከነሱ ያንተ አማራን የምትጨፈጭፈው ይብሳል እነ ክርስትያንን እስር እያሰቃየህ ስለ ምኒልክ ያሳስብሀል ወረኛ,0
የአማራ ክልል ፕሬዝዳንት በአፋር ክልል ከባድ ተቃውሞ ና ጥያቄ ቀረበባቸው ወደ አፋር ደውለናል ልዩ ዝግጅት ሼር ያድርጉ,0
ቀላል ተቸገርን ጉድ የሆነች አገር የጉዶች መአት ተሸክማ እኛንም ጉዳችንን አፈላች,0
ሰላም ልበልሽ ሰላም ፅዮን ማርያም ግሸን ማርያም ስሙት በማርያም via,1
አለበለዚያ ሌላ አዲስ ወያኔ ተሰርቶ ከዘጠኙ ክልል ዘጠና ክልል ይሰራል ያኔ የባህር ሲንድሮም ይለቃል ,0
ethiopia ጀግናው ታዬ ቦጋለ አሁን ያደረገው አስገራሚ ንግግር via,1
ካፒታል ጋዜጣ በቀድሞው ሰራተኛው ጋዜጠኛ ተስፋዬ ጌትነት ክስ ተመሰረተበት,0
ትክክለኛው የፊደል አፃፃፍ ከርስ ሳይሆን ከርስ ሲሆን ሁለት ትርጉም አለው ሆድ ጨኳራ በያንዳንዱ ፊደል ፅፈት መካከል ያለ ባዶ ከርስ ይባላል ስለዚህ ፍሬከርስኪ ፍሬ አልባ ባዶ የሚለውን ትርጉም ridiculous ለሚለው እንጠቀማለን,1
‘’ዘመናዊና ፍትሀዊ የሆነ የንግድና የገበያ ስርአት በመዘርጋት ህዝቡና ሀገራችንን ይበልጥ ተጠቃሚ ለማድረግ ሁሉም ባለድርሻ አካላት የጋራ ጥረት ማድረግ ይጠበቅባቸዋል’’ ethiopia soybean greenmungbean nigerseed,1
melas zena ከቤተክርስታን የልመናን ልምድ ቀስሞ ቁጥር አንድ ለማኝ መሪ የነበረው,0
አሜን ለሁላችን,1
nocomment ግን ነን የደነዘዝ ወይስ መንግስት ማለት ፒፒ ስራውን መስራት ያቃተው,0
ትናንት በኬኒያ ላሙ ዳርቻ የጦር ሰፈር በተፈፀመው ጥቃት አሜሪካዊያን ተገድለዋል,0
ምን አቃጠለህ ይልቅ ኢዜማ የተባለ አጎብዳጅ ፓርቲ ምን እየሰራ ለካደው ለአዲስ አበባ ህዝብ መቼም ምርጡኝ አይለም አደል,0
ልስቅ ግን ቁጭትና ብስጭት አላስቻለኝም ሽንፍላ ትክክለኛ ቃል,0
መውጣት ፈልጎ ሳምንት ማይመለሰው በህክምና ሚቆየው ልምምድ ምናምን ሳምንት ድረስ ሊቆይ ይችላል እሄ ማለት ከኢንተርናሽናል ብራክ ጋር ሳይገባ ሊያሳልፍ ይችላል ያው እያለማመደ ላለመመለስ,0
አሜን ሰላም ብሩህ ሳምንት,1
share gods word ትንቢተ ኢሳይያስ የፊተኛውን ነገር አታስተውሉ የጥንቱንም ነገር አታስቡ እነሆ አዲስ ነገርን አደርጋለህ እርሱም አሁን ይበቅላል እናንተም አታውቁትምን በ…,1
የአማራ ባለስልጣናት በሀሳብ መሞአገት አቅቶት ተገዳደለኦሮሞ ግን በሀሳብ እየተፋጬ የቱ ስልጡን ህዝብ ወይስ ስልጡን መሪ ባሻዬ ማፈሪያ,0
መንግስት ባለአደራውን ሲያዋክበው የከረመው ህገወጥ ናችሁ በማለት አሁን ህጋዊ ፓርቲ እሆናለሁ ሲል ለምን የመሰብሰቢያ አዳራሽ ከለከለው ይህ የዲሞክራሲያዊ መብት አፈና በዚች ሀገር እስከመቸ የሚቀጥለው,0
በአራቱም አቅጣጫ ጃንጣላ ይዞ የሚለምንበየቤቱ አላስተኛ ያለው የዳንኤል ወንድምና እህቶች አይደሉም እንዴ አረገኝ ተወኝ,0
“ፀሀይን የምትለብሽ የብርሀን ልጅ ቅድስት ድንግል ማርያም ሆይ የተቀደስሽ ነሽ”,1
ኦሮሞ ክልሉን በሽብር እያፈራረሰ መሬት የሚያስፋፋው የሽብር መሬት ጠቦት ብቻ እንጂ ለልማት አይደለም ልማት ፈላጊ ቢሆኑ ኖሮ መጀመሪያ ኦሮሚያ ክልልን ባለሙ ኖሮ ከማፈራረስ,0
ይህን የእስክንድርን እንቅስቃሴ በተደጋጋሚ የሚያደናቅፈውን የበላይ አካል ማንነት ማወቅ ከእስክንድር በላይ ለዶክተር አብይ መንግስት ፖርቲ አስፈላጊ ይመስለኛል,1
ልደቱን በዝማሬ ካከበርክ ትልቅ ስጦታ ይሰጥሀል ቅዱስ ኤፍሬም እንዲህ ይላል ሄሮድስ ልደቱን ላከበረች ልጅ ደስ ተሰኝቶ ክፋትን የተሞላ ስጦታን ይህውም የመጥምቆን አንገት በውጪት ሰጥቷት ነበርክፉው ሄሮድስ ይህንን ካደረገ እጅግ አዛኝና ሩህሩህ,1
የውሀ ልማት ፈንድ አዲስ አበባን ጨምሮ ለሰባት ከተሞች ከአምስት ቢሊዮን ብር በላይ ብድር ለማቅረብ ተስማማ,1
በጣም ከሚያገርሙኝ ሰዎች ውስጥ ከፊሎቹ አቻምየለህ ታምሩ ብሩክ አበጋዝና ስዩም ተሾመ ስለ አህመዲን ጀበል ትችት ሲፅፉ ከጎናቸው ሁነው የሚያሽቃብጡና የሚያጨበጭቡ ሱፍዮችና አህባሾች ናቸው,0
ታድያ ምን ይጠበስ እናንተን አይመለከትም ደግሞ አብይ እኮ የውያኔ መድሀኒት የቡዳ መድሀኒት ሲሉም አልስማሽ,0
አማርኛ ተማር መጀመሪያ ለፈደድ🤦‍♀️,0
“ፍራሽ አዳሽ” ተስፋሁን ከበደ አፍ የማያዘጋ የፖለቲካ ሳታሪስት ነዉ አርትስ ቲቪ ላይ እሱን ስከታተል በረዶዉንና ብርዱን አስረስቶኝ አመሸሁ አዲስ አበባ ስሄድ ከተስፍሽ ጋር ማምሸት አለብኝ,1
በኦሮሚያና አዲስ አበባ የሚኖረውን አብሮ አደጉን አማራንቆና አግልሎ ባህርዳር ሄዶ ኢትዮጵያነት ሱስ ያለው አስመሳይ ይኸውላችሁ ፍትህ ለኦሮሚያ አማሮችና ሌሎች ብሄረሰቦች,0
